frame,timestamp,hip_angle,knee_angle,elbow_angle
150,4.9656,179.4011,169.4664,161.5013
151,4.9989,179.9008,168.7162,161.465
152,5.0322,179.9672,168.5315,161.6101
153,5.0656,179.7204,170.1899,162.0363
154,5.0989,179.3746,168.439,161.9225
155,5.1322,179.1074,171.3985,161.9566
156,5.1655,178.7324,172.0726,161.9553
157,5.1989,178.0729,172.3904,162.0476
158,5.2322,178.2693,172.6495,162.8075
159,5.2655,179.3273,170.6834,162.7407
160,5.2988,179.9291,169.5914,162.6512
161,5.3322,177.8632,166.2449,162.5352
162,5.3655,177.6867,166.4762,162.1558
163,5.3988,177.5437,166.4681,161.9206
164,5.4321,176.7633,165.9928,161.8477
165,5.4655,176.5514,165.784,161.9565
166,5.4988,177.0871,165.7368,161.8127
167,5.5321,176.9842,165.4363,162.026
168,5.5655,177.1818,165.6925,162.0652
169,5.5988,178.7115,168.2855,161.9348
170,5.6321,178.901,168.0179,160.7786
171,5.6654,178.8483,172.1992,158.9741
172,5.6988,177.0433,175.2698,159.6554
173,5.7321,177.2184,174.9646,158.9055
174,5.7654,177.0492,174.7127,159.7049
175,5.7987,177.0368,174.5653,159.8956
176,5.8321,177.1632,174.6987,159.7283
177,5.8654,176.775,175.2621,159.092
178,5.8987,177.2072,175.1656,158.5687
179,5.932,176.9709,175.7419,159.1725
180,5.9654,177.4868,174.5145,159.1431
181,5.9987,178.6238,172.8582,158.3039
182,6.032,178.6644,172.5995,157.948
183,6.0653,178.6699,172.795,157.6404
184,6.0987,179.2552,169.1604,156.4527
185,6.132,179.04,167.8231,151.3752
186,6.1653,178.7782,170.977,135.8227
187,6.1986,174.5506,178.7139,120.7601
188,6.232,172.704,178.1523,105.1351
189,6.2653,171.3266,177.2546,91.4993
190,6.2986,171.2476,177.9705,94.2154
191,6.332,169.3214,177.9564,86.4013
192,6.3653,168.1404,179.2654,81.6935
193,6.3986,167.7298,179.9806,72.6538
194,6.4319,167.5335,179.2648,65.5771
195,6.4653,167.7078,178.7306,62.1871
196,6.4986,167.8474,178.33,61.2647
197,6.5319,168.2487,178.1779,60.0238
198,6.5652,168.8376,178.121,61.5668
199,6.5986,169.065,178.8349,62.5636
200,6.6319,169.1795,179.717,64.0165
201,6.6652,169.0965,179.7332,64.5421
202,6.6985,168.8741,179.9066,64.7343
203,6.7319,168.7122,179.7973,65.7692
204,6.7652,168.5133,179.8633,67.4514
205,6.7985,168.5365,179.8508,67.846
206,6.8318,168.8836,179.9143,69.6778
207,6.8652,169.9166,179.6185,68.0562
208,6.8985,170.1426,179.5546,66.7205
209,6.9318,170.2687,179.862,66.2846
210,6.9651,170.7375,179.8313,65.3445
211,6.9985,170.8507,179.887,65.9396
212,7.0318,171.2241,179.9564,64.5569
213,7.0651,171.1568,179.9701,62.4132
214,7.0985,171.1673,179.6527,62.1292
215,7.1318,171.1549,179.6173,61.0029
216,7.1651,170.9769,179.4153,60.7959
217,7.1984,170.9342,178.9086,62.6428
218,7.2318,170.5305,179.0361,62.6729
219,7.2651,170.0253,179.1071,62.1002
220,7.2984,169.5601,178.8637,62.8233
221,7.3317,168.9161,178.3257,64.5972
222,7.3651,167.9691,178.7737,64.8579
223,7.3984,167.8401,178.3849,64.7091
224,7.4317,168.3003,178.791,65.2343
225,7.465,169.3847,179.359,69.8452
226,7.4984,169.2323,179.3459,85.306
227,7.5317,170.1865,179.7391,95.5713
228,7.565,170.6497,179.8142,107.0019
229,7.5983,169.7113,179.3666,111.3173
230,7.6317,169.9626,179.4856,109.7364
231,7.665,169.8764,179.8404,107.2336
232,7.6983,170.2777,179.0726,105.1043
233,7.7316,169.0083,177.08,102.8023
234,7.765,169.6412,176.5352,110.4841
